empresa,subcta,linea_producto,clv_sub,tarifa,portes,agencia_transporte,tipo_iva,tipo_iva_alt,albaran_valorado,albaran_factura,pedido_albaran,intervalo_factura,copias_albaran,copias_factura,descuento_p_pago,descripcion_dto_2,descuento_2,descripcion_dto_3,descuento_3,cl_circ_oferta,cargo_financiero,cargo_fin_dias,descripcion_car_2,cargo_2,irpf,aplic_irpf,vendedor_1,vendedor_2,vendedor_3,facturar_envase,empresa_id,subcta_id,name
1,4000230,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000230,1_4000230
1,4000413,1,,,1,16,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000413,1_4000413
1,4000338,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000338,1_4000338
1,4000282,1,,,1,99,1,3,1,0,1,4,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000282,1_4000282
19,4301379,1,,,0,99,1,1,0,0,1,2,3,1,,,,,,,,,,,0.00,1,,,,N,19,19_4301379,19_4301379
1,4000106,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000106,1_4000106
1,4000032,1,,,,,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000032,1_4000032
1,4000152,1,,,0,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000152,1_4000152
1,4000256,1,,,1,99,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000256,1_4000256
1,4301399,1,,,0,52,1,1,1,0,1,4,3,4,,,,,,,,,,,0.00,1,,,,N,1,1_4301399,1_4301399
1,4301214,1,,7,0,55,1,1,1,0,1,1,3,2,,,,,,,,,,,0.00,1,4100001,,,N,1,1_4301214,1_4301214
1,4000141,1,,,1,98,1,3,1,0,1,1,1,1,,,,,,,,,,,0.00,0,,,,N,1,1_4000141,1_4000141
