empresa,ejercicio,documento,tipo_doc,almacen,orden,descripcion,clv_man,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000267,EC,1,1,ARRENDAMENT CONTENÏDOR,,1,1,1_1,1_1_EC_23000267,1_1_EC_23000267_1_1
1,2023,23000267,EC,1,2,RECOLLIDES,,1,1,1_1,1_1_EC_23000267,1_1_EC_23000267_2_1
1,2023,23000268,EC,1,2,Heat YH CX-2230-WG Lot 2305022 D18,,1,1,1_1,1_1_EC_23000268,1_1_EC_23000268_2_1
1,2023,23000268,EC,1,4,Heat YH CX-2205-WG Lot 2305023 D8,,1,1,1_1,1_1_EC_23000268,1_1_EC_23000268_4_1
1,2023,23000268,EC,1,6,Heat YH CX-2205-WG Lot 2305024 D10,,1,1,1_1,1_1_EC_23000268,1_1_EC_23000268_6_1
1,2023,23000268,EC,1,8,Heat YH CX-2230-WG Lot 2205025 D18,,1,1,1_1,1_1_EC_23000268,1_1_EC_23000268_8_1
1,2023,23000262,EC,1,2,PT-696462............................NUEVO,,1,1,1_1,1_1_EC_23000262,1_1_EC_23000262_2_1
1,2023,23000174,PC,1,2,Heat YH CX-2328-WG Lot 2305053 C/14,,0,1,1_1,1_1_PC_23000174,1_1_PC_23000174_2_1
1,2023,23000174,PC,1,4,Heat YH CX-2205-WG Lot 2305054 d8,,0,1,1_1,1_1_PC_23000174,1_1_PC_23000174_4_1
1,2023,23000174,PC,1,6,Heat YH CX-2005-WG Lot 2305055 D6,,0,1,1_1,1_1_PC_23000174,1_1_PC_23000174_6_1
1,2023,23000387,SV,1,2,S/CODIGO 3 0040 03,,1,1,1_1,1_1_SV_23000387,1_1_SV_23000387_2_1
1,2023,23000280,EC,1,2,INACTIVO 300 CBZAL GOMA SALIDA LATERAL,,1,1,1_1,1_1_EC_23000280,1_1_EC_23000280_2_1
1,2023,3579,SF,1,10,RETRACTIL TOPE,,0,1,1_1,1_1_SF_3579,1_1_SF_3579_10_1
1,2023,3413,EF,1,1,REPARACIONES Y CONSERVACION,,0,1,1_1,1_1_EF_3413,1_1_EF_3413_1_1
1,2023,23000209,PC,1,4,TOP CABLE POWERFLEX RV-K,,0,1,1_1,1_1_PC_23000209,1_1_PC_23000209_4_1
1,2023,23000209,PC,1,5,S/ART. 145134,,0,1,1_1,1_1_PC_23000209,1_1_PC_23000209_5_1
1,2023,23000389,SV,1,2,CON 6 METROS DE CABLE.,,1,1,1_1,1_1_SV_23000389,1_1_SV_23000389_2_1
1,2023,23000405,SV,1,4,CONTACT: PETEY BRUNO,,1,1,1_1,1_1_SV_23000405,1_1_SV_23000405_4_1
1,2023,23000254,EC,1,4,8 Chapas de 2000x1000mm Heat 220834-211 Lot 2209122,,1,1,1_1,1_1_EC_23000254,1_1_EC_23000254_4_1
1,2023,23000339,PV,1,2,x 1000,,0,1,1_1,1_1_PV_23000339,1_1_PV_23000339_2_1
1,2023,23000345,PV,1,2,1050+190 PL250(130-I),,0,1,1_1,1_1_PV_23000345,1_1_PV_23000345_2_1
1,2023,23000206,PC,1,2,S/REF. 305-O,,0,1,1_1,1_1_PC_23000206,1_1_PC_23000206_2_1
1,2023,23000174,PC,1,8,"Heat YH CX-2237-WG Lot 2305056 C/9,5",,0,1,1_1,1_1_PC_23000174,1_1_PC_23000174_8_1
1,2023,23000174,PC,1,10,"Heat YH CX-2237-WG Lot 2305056 C/9,5",,0,1,1_1,1_1_PC_23000174,1_1_PC_23000174_10_1
1,2023,23000174,PC,1,12,Heat YH CX-2310-WG Lot 2304102 D8,,0,1,1_1,1_1_PC_23000174,1_1_PC_23000174_12_1
1,2023,23000201,PC,1,2,CUERPO CANDELAS,,0,1,1_1,1_1_PC_23000201,1_1_PC_23000201_2_1
1,2023,23000230,PC,1,8,PT-699059...........................NUEVO,,0,1,1_1,1_1_PC_23000230,1_1_PC_23000230_8_1
1,2023,23000230,PC,1,10,PT-274036,,0,1,1_1,1_1_PC_23000230,1_1_PC_23000230_10_1
1,2023,23000281,EC,1,2,SALIDA CENTRAL ENPERLINADA,,1,1,1_1,1_1_EC_23000281,1_1_EC_23000281_2_1
1,2023,23000283,EC,1,1,MANTENIMENT EQUIPS INFORMATICS JUNY/2023,,1,1,1_1,1_1_EC_23000283,1_1_EC_23000283_1_1
1,2023,23000284,EC,1,1,RATON LOGITECH M185 WIRELESS -ERF,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_1_1
1,2023,23000284,EC,1,2,CARTUX TINTA ORIGINAL 953XL GROC,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_2_1
1,2023,23000284,EC,1,3,CARTUX TINTA ORIGINAL 953XL MAGENTA,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_3_1
1,2023,23000284,EC,1,4,CARTUX TINTA ORIGINAL 953XL CYAN,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_4_1
1,2023,23000284,EC,1,5,CARTUX TINTA ORIGINAL 953XL NEGRE,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_5_1
1,2023,23000284,EC,1,6,CARTUX TINTA ORIGINAL 920XL NEGRE,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_6_1
1,2023,23000284,EC,1,7,CARTUX TINTA ORIGINAL 920XL CYAN,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_7_1
1,2023,23000284,EC,1,8,CARTUX TINTA ORIGINAL 920XL MAGENTA,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_8_1
1,2023,23000284,EC,1,9,CARTUX TINTA ORIGINAL 920XL YELLOW,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_9_1
1,2023,23000284,EC,1,10,TONER BROTHER ORIGINAL TN2220,,1,1,1_1,1_1_EC_23000284,1_1_EC_23000284_10_1
1,2023,23000205,PC,1,2,CR-NNKp-400/00-316-08-06-00-PB10-250,,0,1,1_1,1_1_PC_23000205,1_1_PC_23000205_2_1
1,2023,23000205,PC,1,4,CR-NNKp-400/00-TEF/316-08-06-00-PB10-200,,0,1,1_1,1_1_PC_23000205,1_1_PC_23000205_4_1
1,2023,23000265,EC,1,2,RATIO T-09 G WORKS 1845A519,,1,1,1_1,1_1_EC_23000265,1_1_EC_23000265_2_1
1,2023,23000344,PV,1,3,1/3 PARTE DEL PEDIDO,,0,1,1_1,1_1_PV_23000344,1_1_PV_23000344_3_1
1,2023,23000344,PV,1,5,1/3 PARTE DEL PEDIDO,,0,1,1_1,1_1_PV_23000344,1_1_PV_23000344_5_1
1,2023,23000287,EC,1,2,CRONODUR PU-90 -A-  (1kg),,1,1,1_1,1_1_EC_23000287,1_1_EC_23000287_2_1
1,2023,23000275,EC,1,2,DSWPP10A10P caja de 60ud - Lote 27032023,,1,1,1_1,1_1_EC_23000275,1_1_EC_23000275_2_1
1,2023,23000275,EC,1,4,DSWPP10A20P caja de 30ud - Lote 18112022,,1,1,1_1,1_1_EC_23000275,1_1_EC_23000275_4_1
1,2023,23000275,EC,1,6,DSWPP100A30P caja de 30ud - Lote 16052023,,1,1,1_1,1_1_EC_23000275,1_1_EC_23000275_6_1
