empresa,ejercicio,almacen,documento,tipo_movimiento,linea_documento,linea_medida,bultos,cantidad,largo,ancho,grueso,procede,empresa_id,almacen_id,documento_id,linea_documento_id,name
1,2023,1,3195,SF,1,1,1.000,0.648,290.000,0.000,0.000,2,1,1_1,1_1_SF_3195,1_1_SF_3195_1,1_1_SF_3195_1
1,2023,1,3137,SF,1,1,1.000,0.010,147.000,15.000,0.000,2,1,1_1,1_1_SF_3137,1_1_SF_3137_1,1_1_SF_3137_1
1,2023,1,3148,SF,1,1,20.000,0.198,130.000,0.000,0.000,2,1,1_1,1_1_SF_3148,1_1_SF_3148_1,1_1_SF_3148_1
1,2023,1,3148,SF,2,1,1.000,1.354,880.000,0.000,0.000,2,1,1_1,1_1_SF_3148,1_1_SF_3148_2,1_1_SF_3148_2
1,2023,1,3148,SF,4,1,1.000,0.142,142.000,0.000,0.000,2,1,1_1,1_1_SF_3148,1_1_SF_3148_4,1_1_SF_3148_4
1,2023,1,3148,SF,5,1,1.000,0.300,300.000,0.000,0.000,2,1,1_1,1_1_SF_3148,1_1_SF_3148_5,1_1_SF_3148_5
1,2023,1,3148,SF,6,1,20.000,1.600,80.000,0.000,0.000,2,1,1_1,1_1_SF_3148,1_1_SF_3148_6,1_1_SF_3148_6
1,2023,1,3167,SF,4,1,2.000,3.301,1135.000,0.000,0.000,2,1,1_1,1_1_SF_3167,1_1_SF_3167_4,1_1_SF_3167_4
1,2023,1,2941,SF,3,1,1.000,1.120,2800.000,0.000,0.000,2,1,1_1,1_1_SF_2941,1_1_SF_2941_3,1_1_SF_2941_3
1,2023,1,3153,SF,1,1,1.000,0.042,42.000,0.000,0.000,2,1,1_1,1_1_SF_3153,1_1_SF_3153_1,1_1_SF_3153_1
1,2023,1,2941,SF,7,1,1.000,0.314,100.000,0.000,0.000,2,1,1_1,1_1_SF_2941,1_1_SF_2941_7,1_1_SF_2941_7
1,2023,1,3157,SF,1,1,1.000,0.017,17.000,0.000,0.000,2,1,1_1,1_1_SF_3157,1_1_SF_3157_1,1_1_SF_3157_1
1,2023,1,3106,SF,1,1,1.000,0.004,110.000,10.420,0.000,2,1,1_1,1_1_SF_3106,1_1_SF_3106_1,1_1_SF_3106_1
