empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
,C0136200B,,,,,,,,,1.000000,,1,STAND,0,0_C0136200B,,0_C0136200B_STAND
,C0084100B,,,,,,,,,1.000000,,1,STAND,0,0_C0084100B,,0_C0084100B_STAND
,C0094100B,,,,,,,,,1.000000,,1,STAND,0,0_C0094100B,,0_C0094100B_STAND
,C0123101B,,,,,,,,,1.000000,,1,STAND,0,0_C0123101B,,0_C0123101B_STAND
,C0123301B,,,,,,,,,1.000000,,1,STAND,0,0_C0123301B,,0_C0123301B_STAND
,C0103101B,,,,,,,,,1.000000,,1,STAND,0,0_C0103101B,,0_C0103101B_STAND
,C0113101B,,,,,,,,,1.000000,,1,STAND,0,0_C0113101B,,0_C0113101B_STAND
,C0132101B,,,,,,,,,1.000000,,1,STAND,0,0_C0132101B,,0_C0132101B_STAND
,C0132201B,,,,,,,,,1.000000,,1,STAND,0,0_C0132201B,,0_C0132201B_STAND
,C0136101B,,,,,,,,,1.000000,,1,STAND,0,0_C0136101B,,0_C0136101B_STAND
,C0136201B,,,,,,,,,1.000000,,1,STAND,0,0_C0136201B,,0_C0136201B_STAND
,C0094301B,,,,,,,,,1.000000,,1,STAND,0,0_C0094301B,,0_C0094301B_STAND
,C0034100B,,,,,,,,,1.000000,,1,STAND,0,0_C0034100B,,0_C0034100B_STAND
,C0014100B,,,,,,,,,1.000000,,1,STAND,0,0_C0014100B,,0_C0014100B_STAND
,C0024100B,,,,,,,,,1.000000,,1,STAND,0,0_C0024100B,,0_C0024100B_STAND
,C0035100B,,,,,,,,,1.000000,,1,STAND,0,0_C0035100B,,0_C0035100B_STAND
,C0015100B,,,,,,,,,1.000000,,1,STAND,0,0_C0015100B,,0_C0015100B_STAND
,C0025100B,,,,,,,,,1.000000,,1,STAND,0,0_C0025100B,,0_C0025100B_STAND
,C0034302B,,,,,,,,,1.000000,,1,STAND,0,0_C0034302B,,0_C0034302B_STAND
,C0033100C,,,,,,,,,1.000000,,1,STAND,0,0_C0033100C,,0_C0033100C_STAND
,C0012100C,,,,,,,,,1.000000,,1,STAND,0,0_C0012100C,,0_C0012100C_STAND
,C0012200C,,,,,,,,,1.000000,,1,STAND,0,0_C0012200C,,0_C0012200C_STAND
,C0011200C,,,,,,,,,1.000000,,1,STAND,0,0_C0011200C,,0_C0011200C_STAND
,C0021200C,,,,,,,,,1.000000,,1,STAND,0,0_C0021200C,,0_C0021200C_STAND
,C0031200C,,,,,,,,,1.000000,,1,STAND,0,0_C0031200C,,0_C0031200C_STAND
,C0063100C,,,,,,,,,1.000000,,1,STAND,0,0_C0063100C,,0_C0063100C_STAND
,C0063200C,,,,,,,,,1.000000,,1,STAND,0,0_C0063200C,,0_C0063200C_STAND
,C0042100C,,,,,,,,,1.000000,,1,STAND,0,0_C0042100C,,0_C0042100C_STAND
,C0042200C,,,,,,,,,1.000000,,1,STAND,0,0_C0042200C,,0_C0042200C_STAND
,C0052200C,,,,,,,,,1.000000,,1,STAND,0,0_C0052200C,,0_C0052200C_STAND
,C0041200C,,,,,,,,,1.000000,,1,STAND,0,0_C0041200C,,0_C0041200C_STAND
