empresa,ejercicio,tipo_movimiento,pedido,linea_pedido,clv_ped,fecha_servicio,articulo,acumula,cantidad,bultos,cantidad_s,bultos_s,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,subcta,linea_producto,clv_sub,fecha_documento,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,pedido_id,name
1,2023,PV,23000155,5,,2023-03-30,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301680,1,,2023-03-09,,,,,5,,,,,,1,9,1_1,1_1_PV_23000155,1_1_PV_23000155_5
1,2023,PC,23000107,2,,2023-03-27,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000038,1,,2023-03-13,,,,,2,,,,,,1,9,1_1,1_1_PC_23000107,1_1_PC_23000107_2
1,2023,PC,23000013,2,,2023-09-19,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000651,1,,2023-01-09,,,,,2,,,,,,1,9,1_1,1_1_PC_23000013,1_1_PC_23000013_2
1,2023,PC,23000245,6,,2023-08-25,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000728,1,,2023-07-11,,,,,6,,,,,,1,9,1_1,1_1_PC_23000245,1_1_PC_23000245_6
1,2023,PC,23000033,14,,2023-02-20,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000232,1,,2023-01-23,,,,,14,,,,,,1,9,1_1,1_1_PC_23000033,1_1_PC_23000033_14
1,2023,PV,23000183,2,,2023-04-05,..03/1531085,1,1.000,1.000,1.000,1.000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301784,1,,2023-03-20,,,,,2,,,,,,1,9,1_1,1_1_PV_23000183,1_1_PV_23000183_2
1,2023,PC,23000280,4,,2023-09-18,..02/10526AM1,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000479,1,,2023-09-07,,,,,4,,,,,,1,9,1_1,1_1_PC_23000280,1_1_PC_23000280_4
1,2023,PV,23000339,2,,2023-06-08,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301505,1,,2023-06-06,,,,,2,,,,,,1,9,1_1,1_1_PV_23000339,1_1_PV_23000339_2
1,2023,PC,23000265,2,,2023-08-28,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000728,1,,2023-07-28,,,,,8,,,,,,1,9,1_1,1_1_PC_23000265,1_1_PC_23000265_2
1,2023,PC,23000074,2,,2023-03-09,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000728,1,,2023-02-16,,,,,9,,,,,,1,9,1_1,1_1_PC_23000074,1_1_PC_23000074_2
1,2023,PV,23000504,2,,2023-09-29,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300012,1,,2023-09-19,,,,,2,,,,,,1,9,1_1,1_1_PV_23000504,1_1_PV_23000504_2
1,2023,PC,23000158,2,,2023-05-18,..12/CH01011010,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000651,1,,2023-04-26,,,,,2,,,,,,1,9,1_1,1_1_PC_23000158,1_1_PC_23000158_2
1,2023,PC,23000158,4,,2023-05-18,..12/CH01012010,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000651,1,,2023-04-26,,,,,4,,,,,,1,9,1_1,1_1_PC_23000158,1_1_PC_23000158_4
1,2023,PV,23000225,2,,2023-04-21,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300754,1,,2023-04-13,,,,,2,,,,,,1,9,1_1,1_1_PV_23000225,1_1_PV_23000225_2
1,2023,PV,23000566,2,,2023-11-15,12/5130083,1,4.000,0.000,4.000,0.000,136.58000,136.58000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,97.73625,,0,0.00000,0.00000,,9,1.000000,,1,4301529,1,,2023-10-18,,,,,2,,,,,,1,9,1_1,1_1_PV_23000566,1_1_PV_23000566_2
