empresa,ejercicio,almacen,documento,tipo_doc,subcta,fecha,importe,moneda,cambio,cambio_euro,asiento,orden,tipo,tpv,clave,empresa_id,ejercicio_id,almacen_id,subcta_id,moneda_id,tpv_id,name
1,2016,1,16000395,SV,4300617,2016-05-06,241.56000,9,1.000000,,,,1,1,1605090928120617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000381,SV,4300847,2016-05-03,2563.02000,9,1.000000,,,,1,1,1605090929360847,1,1_2016,1_1,1_4300847,9,1_1,1_1
1,2016,1,16000398,SV,4300012,2016-05-09,59.27000,9,1.000000,,,,1,1,1605091154070012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000399,SV,4300012,2016-05-09,61.17000,9,1.000000,,,,1,1,1605091155170012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000400,SV,4301295,2016-05-09,80.83000,9,1.000000,,,,1,1,1605091242031295,1,1_2016,1_1,1_4301295,9,1_1,1_1
1,2016,1,16000401,SV,4300617,2016-05-09,1632.05000,9,1.000000,,,,1,1,1605091642510617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000405,SV,4301775,2016-05-10,2178.00000,9,1.000000,,,,1,1,1605101545091775,1,1_2016,1_1,1_4301775,9,1_1,1_1
1,2016,1,16000406,SV,4300085,2016-05-10,635.76000,9,1.000000,,,,1,1,1605101548460085,1,1_2016,1_1,1_4300085,9,1_1,1_1
1,2016,1,16000407,SV,4301489,2016-05-10,100.91000,9,1.000000,,,,1,1,1605101551401489,1,1_2016,1_1,1_4301489,9,1_1,1_1
1,2016,1,16000408,SV,4300267,2016-05-10,105.27000,9,1.000000,,,,1,1,1605101553180267,1,1_2016,1_1,1_4300267,9,1_1,1_1
1,2016,1,16000457,SV,4300357,2016-05-24,199.65000,9,1.000000,,,,1,1,1605241104070357,1,1_2016,1_1,1_4300357,9,1_1,1_1
1,2016,1,16000410,SV,4300904,2016-05-10,405.25000,9,1.000000,,,,1,1,1605101555260904,1,1_2016,1_1,1_4300904,9,1_1,1_1
1,2016,1,16000411,SV,4301173,2016-05-10,1570.27000,9,1.000000,,,,1,1,1605101601061173,1,1_2016,1_1,1_4301173,9,1_1,1_1
1,2016,1,16000412,SV,4301439,2016-05-10,266.20000,9,1.000000,,,,1,1,1605101604271439,1,1_2016,1_1,1_4301439,9,1_1,1_1
1,2016,1,16000413,SV,4300545,2016-05-10,108.90000,9,1.000000,,,,1,1,1605101636520545,1,1_2016,1_1,1_4300545,9,1_1,1_1
1,2016,1,16000414,SV,4301505,2016-05-11,1834.94000,9,1.000000,,,,1,1,1605111432381505,1,1_2016,1_1,1_4301505,9,1_1,1_1
1,2016,1,16000432,SV,4301753,2016-05-17,508.20000,9,1.000000,,,,1,1,1605171711101753,1,1_2016,1_1,1_4301753,9,1_1,1_1
1,2016,1,16000433,SV,4300254,2016-05-17,864.91000,9,1.000000,,,,1,1,1605171712450254,1,1_2016,1_1,1_4300254,9,1_1,1_1
1,2016,1,16000417,SV,4300652,2016-05-11,1058.75000,9,1.000000,,,,1,1,1605111533140652,1,1_2016,1_1,1_4300652,9,1_1,1_1
1,2016,1,16000394,SV,4301144,2016-05-06,662.23000,9,1.000000,,,,1,1,1605130743341144,1,1_2016,1_1,1_4301144,9,1_1,1_1
1,2016,1,16000434,SV,4302037,2016-05-17,371.71000,9,1.000000,,,,1,1,1605171713492037,1,1_2016,1_1,1_4302037,9,1_1,1_1
1,2016,1,16000419,SV,4300012,2016-05-12,59.27000,9,1.000000,,,,1,1,1605121441140012,1,1_2016,1_1,1_4300012,9,1_1,1_1
