empresa,ejercicio,documento,tipo_doc,almacen,orden,c1,c2,c3,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000032,PC,1,2,,,,0,1,1_1,1_1_PC_23000032_2,1_1_PC_23000032_2
1,2023,23000033,PC,1,1,,,,0,1,1_1,1_1_PC_23000033_1,1_1_PC_23000033_1
1,2023,23000033,PC,1,2,,,,0,1,1_1,1_1_PC_23000033_2,1_1_PC_23000033_2
1,2023,23000033,PC,1,3,,,,0,1,1_1,1_1_PC_23000033_3,1_1_PC_23000033_3
1,2023,23000033,PC,1,4,,,,0,1,1_1,1_1_PC_23000033_4,1_1_PC_23000033_4
1,2023,23000033,PC,1,5,,,,0,1,1_1,1_1_PC_23000033_5,1_1_PC_23000033_5
1,2023,23000033,PC,1,6,,,,0,1,1_1,1_1_PC_23000033_6,1_1_PC_23000033_6
1,2023,23000033,PC,1,7,,,,0,1,1_1,1_1_PC_23000033_7,1_1_PC_23000033_7
1,2023,23000033,PC,1,8,,,,0,1,1_1,1_1_PC_23000033_8,1_1_PC_23000033_8
1,2023,23000033,PC,1,9,,,,0,1,1_1,1_1_PC_23000033_9,1_1_PC_23000033_9
1,2023,23000033,PC,1,10,,,,0,1,1_1,1_1_PC_23000033_10,1_1_PC_23000033_10
