empresa,codigo,descripcion_1,descripcion_2,v_int,v_dec1,v_dec2,v_char,parametro,empresa_id,name
1,11098,*** NO SE USA ***, ,,,,,0,1,1_11098
19,11098,*** NO SE USA ***, ,,,,,0,19,19_11098
999,11098,*** NO SE USA ***, ,,,,,0,999,999_11098
1,11101,****ASIGNACION DE LOTES EN PEDIDOS******'1' Se Asignan los Lotes en Pedidos,'0' No se Asignan los Lotes en Pedidos,,,,,0,1,1_11101
19,11101,****ASIGNACION DE LOTES EN PEDIDOS******'1' Se Asignan los Lotes en Pedidos,'0' No se Asignan los Lotes en Pedidos,,,,,0,19,19_11101
999,11101,****ASIGNACION DE LOTES EN PEDIDOS******'1' Se Asignan los Lotes en Pedidos,'0' No se Asignan los Lotes en Pedidos,,,,,0,999,999_11101
1,11102,*** NO SE USA ***, ,,,,,0,1,1_11102
19,11102,*** NO SE USA ***, ,,,,,0,19,19_11102
1,11103,********  ORDENACION LOTES      ********'1' Ordenar por Lote  Interno,'0' Ordenar por Fecha Caducidad,,,,,0,1,1_11103
19,11103,********  ORDENACION LOTES      ********'1' Ordenar por Lote  Interno,'0' Ordenar por Fecha Caducidad,,,,,0,19,19_11103
999,11103,********  ORDENACION LOTES      ********'1' Ordenar por Lote  Interno,'0' Ordenar por Fecha Caducidad,,,,,0,999,999_11103
1,11104,*** NO SE USA ***, ,,,,,0,1,1_11104
19,11104,*** NO SE USA ***, ,,,,,0,19,19_11104
999,11104,*** NO SE USA ***, ,,,,,0,999,999_11104
1,11105,*** NO SE USA ***, ,,,,,0,1,1_11105
19,11105,*** NO SE USA ***, ,,,,,0,19,19_11105
999,11105,*** NO SE USA ***, ,,,,,0,999,999_11105
1,11106,*** NO SE USA ***, ,,,,,0,1,1_11106
19,11106,*** NO SE USA ***, ,,,,,0,19,19_11106
999,11106,*** NO SE USA ***, ,,,,,0,999,999_11106
1,11107,*** NO SE USA ***, ,,,,,0,1,1_11107
19,11107,*** NO SE USA ***, ,,,,,0,19,19_11107
999,11107,*** NO SE USA ***, ,,,,,0,999,999_11107
1,11108,*** NO SE USA ***, ,,,,,0,1,1_11108
19,11108,*** NO SE USA ***, ,,,,,0,19,19_11108
999,11108,*** NO SE USA ***, ,,,,,0,999,999_11108
1,11109,*** NO SE USA ***, ,,,,,0,1,1_11109
19,11109,*** NO SE USA ***, ,,,,,0,19,19_11109
999,11109,*** NO SE USA ***, ,,,,,0,999,999_11109
1,11110,*** NO SE USA ***, ,,,,,0,1,1_11110
19,11110,*** NO SE USA ***, ,,,,,0,19,19_11110
999,11110,*** NO SE USA ***, ,,,,,0,999,999_11110
1,11111,*** NO SE USA ***, ,,,,,0,1,1_11111
19,11111,*** NO SE USA ***, ,,,,,0,19,19_11111
999,11111,*** NO SE USA ***, ,,,,,0,999,999_11111
1,11112,*** NO SE USA ***, ,,,,,0,1,1_11112
19,11112,*** NO SE USA ***, ,,,,,0,19,19_11112
999,11112,*** NO SE USA ***, ,,,,,0,999,999_11112
1,11113,*** OFERTAS POR MATRIZ DE ARTICULOS **** 0 - Desactivado,                                         1 - Activado,4,,,En codigo integer va el numero de caracter que se corta el articulo para matriz.,0,1,1_11113
19,11113,*** OFERTAS POR MATRIZ DE ARTICULOS **** 0 - Desactivado,                                         1 - Activado,4,,,En codigo integer va el numero de caracter que se corta el articulo para matriz.,0,19,19_11113
999,11113,*** OFERTAS POR MATRIZ DE ARTICULOS **** 0 - Desactivado,                                         1 - Activado,4,,,En codigo integer va el numero de caracter que se corta el articulo para matriz.,0,999,999_11113
1,11114,*** NO SE USA ***, ,,,,,0,1,1_11114
19,11114,*** NO SE USA ***, ,,,,,0,19,19_11114
999,11114,*** NO SE USA ***, ,,,,,0,999,999_11114
1,11115,*** NO SE USA ***, ,,,,,0,1,1_11115
19,11115,*** NO SE USA ***, ,,,,,0,19,19_11115
999,11115,*** NO SE USA ***, ,,,,,0,999,999_11115
1,11116,*** NO SE USA ***, ,,,,,0,1,1_11116
19,11116,*** NO SE USA ***, ,,,,,0,19,19_11116
999,11116,*** NO SE USA ***, ,,,,,0,999,999_11116
999,11054,Accion de la segunda impresora :         0 : Se utiliza para tiquets con cajon, 1 : Se utiliza para facturas            2 : Se utiliza para tiquets SIN cajon,,,,,0,999,999_11054
1,11055,Precio y descuentos de linea (VENTAS)   0 --> STANDARD,1 --> Combinacion Oferta/Categoria,,,,*** USO EXCLUSIVO T.P.V. ***,0,1,1_11055
19,11055,Precio y descuentos de linea (VENTAS)   0 --> STANDARD,1 --> Combinacion Oferta/Categoria,,,,*** USO EXCLUSIVO T.P.V. ***,0,19,19_11055
