empresa,codigo,clv_art,codigo_a,tipo,tipo_art,ficha_cerrada,fecha_baja,empresa_id,name
1,01/09043,,TA01,1,,0,,1,1_01/09043
1,55/8160822,,TI02,2,,0,,1,1_55/8160822
1,55/8160822M,,TI55,2,,0,,1,1_55/8160822M
1,01/00342B,,TA01,1,,0,,1,1_01/00342B
1,01/09045,,TA01,1,,0,,1,1_01/09045
1,01/09046,,TA01,1,,0,,1,1_01/09046
1,01/09047,,TA01,1,,0,,1,1_01/09047
1,10/00013,,TI10,2,,0,,1,1_10/00013
1,01/00353AR,,TA01,1,,0,,1,1_01/00353AR
1,01/00352AR,,TA01,1,,0,,1,1_01/00352AR
1,02/08542A,,TI02,2,,0,,1,1_02/08542A
1,12/RQ00018M,,CV12,6,,0,,1,1_12/RQ00018M
1,01/09047M,,TA01,1,,0,,1,1_01/09047M
1,12/PG05531,,CV12,6,,0,,1,1_12/PG05531
1,12/PG05532,,CV12,6,,0,,1,1_12/PG05532
1,TA11,,,1,,,,1,1_TA11
1,TA01,,,1,,,,1,1_TA01
1,TA00,,,1,,,,1,1_TA00
1,TA,,,1,,,,1,1_TA
1,TA25,,,1,,,,1,1_TA25
1,TA26,,,1,,,,1,1_TA26
1,TA27,,,1,,,,1,1_TA27
1,TA28,,,1,,,,1,1_TA28
1,TA51,,,1,,,,1,1_TA51
1,TA52,,,1,,,,1,1_TA52
1,TA53,,,1,,,,1,1_TA53
1,TA54,,,1,,,,1,1_TA54
1,TA57,,,1,,,,1,1_TA57
1,TA56,,,1,,,,1,1_TA56
1,TA58,,,1,,,,1,1_TA58
1,TA70,,,1,,,,1,1_TA70
1,TI,,,2,,,,1,1_TI
1,02/08767R,,TI02,2,,0,,1,1_02/08767R
1,TI02,,,2,,,,1,1_TI02
1,TI10,,,2,,,,1,1_TI10
1,TI55,,,2,,,,1,1_TI55
1,CA,,,3,,,,1,1_CA
1,CA03,,,3,,,,1,1_CA03
1,01/10283,,TA01,1,,0,,1,1_01/10283
1,CA13,,,3,,,,1,1_CA13
1,PL,,,4,,,,1,1_PL
1,PL04,,,4,,,,1,1_PL04
1,PL80,,,4,,,,1,1_PL80
1,53/35010,,TA53,1,,,,1,1_53/35010
1,CV12,,,6,,,,1,1_CV12
1,03/00026,,CA03,3,,0,,1,1_03/00026
1,12/00025,,CV12,6,,,,1,1_12/00025
1,02/07167,,TI02,2,,,,1,1_02/07167
1,TA01/99999,,101,1,,,,1,1_TA01/99999
1,TI90/99999,,XTI92,8,,,,1,1_TI90/99999
1,03/00217,,CA03,3,,0,,1,1_03/00217
1,04/00099,,PL04,4,,,,1,1_04/00099
1,PL90/99999,,XPL94,8,,,,1,1_PL90/99999
1,CA90/99999,,XCA93,8,,,,1,1_CA90/99999
1,02/07893,,TI02,2,,,,1,1_02/07893
1,01/08224,,TA01,1,,,,1,1_01/08224
1,03/00217M,,CA03,3,,0,,1,1_03/00217M
1,12/8000,,CV12,6,,,,1,1_12/8000
1,51/00250,,TA51,1,,,,1,1_51/00250
1,51/00120,,TA51,1,,,,1,1_51/00120
1,01/00339B,,TA01,1,,0,,1,1_01/00339B
1,51/00100,,TA51,1,,,,1,1_51/00100
1,03/00126,,CA03,3,,0,,1,1_03/00126
1,CA03/99999,,103,3,,,,1,1_CA03/99999
1,13/10506,,CA13,3,,,,1,1_13/10506
1,12/PP00024,,CV12,6,,0,,1,1_12/PP00024
1,57/00010MP,,TA57,1,,0,,1,1_57/00010MP
1,02/08787,,TI02,2,,0,,1,1_02/08787
1,02/08788,,TI02,2,,0,,1,1_02/08788
1,12/70065,,CV12,6,,0,,1,1_12/70065
1,02/08789,,TI02,2,,0,,1,1_02/08789
1,02/08790,,TI02,2,,0,,1,1_02/08790
1,02/08789M,,TI02,2,,0,,1,1_02/08789M
1,02/08790M,,TI02,2,,0,,1,1_02/08790M
1,12/PG00010,,CV12,6,,0,,1,1_12/PG00010
1,01/00373,,TA01,1,,0,,1,1_01/00373
1,12/421807,,CV12,6,,0,,1,1_12/421807
1,02/08791,,TI02,2,,0,,1,1_02/08791
1,02/08792,,TI02,2,,0,,1,1_02/08792
1,02/08793,,TI02,2,,0,,1,1_02/08793
1,02/08793M,,TI02,2,,0,,1,1_02/08793M
1,02/08794,,TI02,2,,0,,1,1_02/08794
1,01/09048R,,TA01,1,,0,,1,1_01/09048R
1,02/001600001,,TI02,2,,0,,1,1_02/001600001
1,01/09044,,TA01,1,,0,,1,1_01/09044
1,04/00059,,PL04,4,,0,,1,1_04/00059
1,12/80101A,,CV12,6,,0,,1,1_12/80101A
1,04/00059A,,PL04,4,,0,,1,1_04/00059A
1,01/00374,,TA01,1,,0,,1,1_01/00374
1,01/09049,,TA01,1,,0,,1,1_01/09049
1,01/09050,,TA01,1,,0,,1,1_01/09050
1,02/08798,,TI02,2,,0,,1,1_02/08798
1,01/00375,,TA01,1,,0,,1,1_01/00375
1,02/08795,,TI02,2,,0,,1,1_02/08795
