emp,eje,alm,doc,observacion,faviso,empresa_id,ejercicio_id,almacen_id,name
1,2006,1,10871,,,1,1_2006,1_1,1_2006_10871
1,2006,1,10896,,,1,1_2006,1_1,1_2006_10896
1,2006,1,10898,,,1,1_2006,1_1,1_2006_10898
1,2006,1,10900,,,1,1_2006,1_1,1_2006_10900
1,2006,1,10903,,,1,1_2006,1_1,1_2006_10903
1,2007,1,11732,,,1,1_2007,1_1,1_2007_11732
1,2006,1,10938,,,1,1_2006,1_1,1_2006_10938
1,2006,1,10940,,,1,1_2006,1_1,1_2006_10940
1,2006,1,10947,,,1,1_2006,1_1,1_2006_10947
1,2006,1,10952,,,1,1_2006,1_1,1_2006_10952
1,2006,1,10954,,,1,1_2006,1_1,1_2006_10954
1,2007,1,11740,,,1,1_2007,1_1,1_2007_11740
1,2006,1,10962,,,1,1_2006,1_1,1_2006_10962
1,2006,1,10966,,,1,1_2006,1_1,1_2006_10966
1,2006,1,10968,,,1,1_2006,1_1,1_2006_10968
1,2006,1,10969,,,1,1_2006,1_1,1_2006_10969
1,2006,1,10971,,,1,1_2006,1_1,1_2006_10971
1,2007,1,11753,,,1,1_2007,1_1,1_2007_11753
1,2006,1,10973,,,1,1_2006,1_1,1_2006_10973
1,2006,1,10974,,,1,1_2006,1_1,1_2006_10974
1,2006,1,10976,,,1,1_2006,1_1,1_2006_10976
1,2006,1,10979,,,1,1_2006,1_1,1_2006_10979
1,2006,1,10980,,,1,1_2006,1_1,1_2006_10980
1,2006,1,10981,,,1,1_2006,1_1,1_2006_10981
1,2006,1,10989,,,1,1_2006,1_1,1_2006_10989
1,2006,1,10990,,,1,1_2006,1_1,1_2006_10990
1,2006,1,10992,,,1,1_2006,1_1,1_2006_10992
1,2006,1,10994,,,1,1_2006,1_1,1_2006_10994
1,2006,1,10996,,,1,1_2006,1_1,1_2006_10996
1,2006,1,10997,,,1,1_2006,1_1,1_2006_10997
1,2006,1,10999,,,1,1_2006,1_1,1_2006_10999
1,2006,1,11001,,,1,1_2006,1_1,1_2006_11001
1,2006,1,11002,,,1,1_2006,1_1,1_2006_11002
